구분,읍면,법정리,행정리,년도,세대수,인구수(총계),인구수(남),인구수(여)
경상북도 울릉군,서면,남서리,남서2리,2024,23,34,15,19
경상북도 울릉군,서면,태하리,태하1리,2024,221,361,199,162
경상북도 울릉군,서면,태하리,태하2리,2024,61,89,50,39
경상북도 울릉군,북면,천부리,천부1리,2024,329,489,249,240
경상북도 울릉군,북면,천부리,천부2리,2024,48,67,36,31
경상북도 울릉군,북면,천부리,천부3리,2024,28,48,24,24
경상북도 울릉군,북면,천부리,천부4리,2024,41,65,38,27
경상북도 울릉군,북면,나리,나리,2024,37,59,40,19
경상북도 울릉군,북면,나리,추산리,2024,85,112,72,40
경상북도 울릉군,북면,현포리,현포1리,2024,236,378,210,168
경상북도 울릉군,북면,현포리,현포2리,2024,81,127,69,58
